firstName,lastName,Team,Position,college,age,overallRating,birthdate,height,weight,handedness,jerseyNum,yearsPro,Archetype,stats/acceleration/value,stats/agility/value,stats/jumping/value,stats/stamina/value,stats/strength/value,stats/awareness/value,stats/bCVision/value,stats/blockShedding/value,stats/breakSack/value,stats/breakTackle/value,stats/carrying/value,stats/catchInTraffic/value,stats/catching/value,stats/changeOfDirection/value,stats/deepRouteRunning/value,stats/finesseMoves/value,stats/hitPower/value,stats/impactBlocking/value,stats/injury/value,stats/jukeMove/value,stats/kickAccuracy/value,stats/kickPower/value,stats/kickReturn/value,stats/leadBlock/value,stats/manCoverage/value,stats/mediumRouteRunning/value,stats/overall/value,stats/passBlock/value,stats/passBlockFinesse/value,stats/passBlockPower/value,stats/playAction/value,stats/playRecognition/value,stats/powerMoves/value,stats/press/value,stats/pursuit/value,stats/release/value,stats/runBlock/value,stats/runBlockFinesse/value,stats/runBlockPower/value,stats/shortRouteRunning/value,stats/spectacularCatch/value,stats/speed/value,stats/spinMove/value,stats/stiffArm/value,stats/tackle/value,stats/throwAccuracyDeep/value,stats/throwAccuracyMid/value,stats/throwAccuracyShort/value,stats/throwOnTheRun/value,stats/throwPower/value,stats/throwUnderPressure/value,stats/toughness/value,stats/trucking/value,stats/zoneCoverage/value,contractYears,contractTotalValue_M,contractAPY_M,contractTotalGuaranteed_M,Development
Bradlee,Crayton,San Francisco,RG,Kansas,25,83,2/24/00,77,320,1,77,1,Power - G,63,71,71,85,95,80,28,39,19,30,40,22,44,62,15,32,52,86,88,21,21,22,9,91,9,21,82,79,73,79,10,35,32,3,42,18,85,91,89,21,21,62,23,33,50,10,21,21,10,25,10,87,32,9,4,5.700548,1.425137,0.965852,Normal
Kato,Mallett,Dallas,WR,Georgia,24,83,3/4/01,75,200,1,3,3,Slot - WR,92,92,94,87,61,82,84,22,20,69,74,91,85,91,80,13,17,47,85,80,20,18,71,33,12,80,84,29,22,22,6,18,13,16,31,75,56,42,33,84,97,89,78,47,24,9,10,19,12,26,13,77,38,17,4,6.752179,1.688045,3.102593,Normal
Rashard,Awasom,New England,TE,Arkansas,30,83,12/7/94,77,250,1,85,9,Possession - TE,85,80,85,92,74,89,78,47,15,56,74,86,92,70,64,16,29,71,92,67,17,18,17,58,14,71,85,57,55,58,6,21,19,14,43,73,68,58,66,72,83,82,55,69,41,10,10,14,8,30,8,94,78,21,3,27.0,9.0,15.8,Normal
Earl,Greenlee,Kansas City,HB,Rutgers,25,83,3/2/00,70,216,1,10,3,Elusive Back - HB,98,85,87,93,80,84,83,37,32,83,95,47,75,86,49,19,43,44,89,86,12,19,84,27,19,55,82,56,31,37,24,26,15,24,43,52,31,25,19,67,50,95,77,74,33,22,27,34,32,38,28,88,84,32,4,3.739108,0.934777,0.079108,Normal
Almon,Azumah,Las Vegas,WR,N.C. State,28,83,11/8/96,74,200,1,16,6,Slot - WR,93,89,89,91,60,82,80,37,38,75,75,92,92,86,80,10,28,47,93,84,29,47,64,28,24,86,82,35,30,30,41,31,10,24,42,72,52,32,36,84,89,89,69,49,38,46,52,59,58,74,50,84,48,32,3,33.0,11.0,10.5,Normal
Sherwood,Dibernardo,Houston,FS,Baylor,26,83,6/3/99,71,198,1,5,3,Zone - S,91,92,80,95,63,82,68,53,15,49,63,58,75,87,22,49,75,57,92,76,34,35,46,21,78,25,81,31,35,37,11,82,36,63,85,23,33,34,33,34,64,88,64,42,65,14,12,18,13,25,10,84,35,84,3,39.0,13.0,20.656,Normal
Kailee,Talbert,Chicago,SS,Penn State,26,83,4/20/99,73,200,1,9,3,Run Support - S,90,85,92,93,67,84,71,63,19,57,62,53,72,86,27,43,89,65,85,75,15,21,70,24,69,28,83,33,36,36,5,81,42,62,89,29,37,37,33,33,67,87,64,46,81,7,6,5,5,30,9,87,46,74,4,7.35554,1.838885,3.568827,Normal
Ramos,Hoese,Cleveland,ROLB,Notre Dame,25,83,11/4/99,74,221,1,6,4,Pass Coverage - OLB,90,86,89,89,66,86,62,71,41,46,59,53,73,81,22,63,86,77,90,57,16,16,36,17,70,31,83,44,46,47,30,84,49,50,91,29,47,43,46,35,58,90,52,39,85,28,36,41,45,45,30,90,36,75,3,37.5,12.5,20.0,Normal
Emile,Fena,Las Vegas,SS,S. Illinois,27,83,2/26/98,75,220,1,11,5,Run Support - S,91,85,92,91,66,86,63,56,15,46,71,58,68,86,10,58,84,59,89,67,8,13,48,23,71,19,85,32,34,33,6,85,44,72,85,18,33,35,35,30,67,92,60,46,73,8,6,5,4,19,19,94,51,76,2,16.258,8.129,12.25,Normal
Jamain,Angelo,New York N,FS,Oregon,25,83,3/3/00,73,210,1,8,4,Zone - S,93,80,87,90,69,83,74,62,10,43,68,69,82,89,39,50,81,63,90,80,15,13,71,20,82,38,84,36,36,37,13,82,42,65,81,45,35,32,35,46,77,89,68,31,68,13,10,15,16,26,10,82,37,83,4,8.0,2.0,4.0,Normal
Byron,Lichtensteiger,Houston,SS,N. Illinois,34,83,7/18/91,71,195,1,20,11,Zone - S,87,85,90,92,54,88,63,48,10,31,66,55,71,84,13,57,87,56,82,68,22,20,36,8,74,9,85,34,32,36,6,83,50,85,82,14,35,36,34,16,64,91,61,43,77,6,6,9,7,28,17,87,62,81,1,10.508,10.508,8.758,Normal
Nuu,Lange,Minnesota,LE,Florida,28,83,5/25/97,75,263,1,58,5,Smaller Speed Rusher - DE,84,78,72,82,83,88,48,81,16,23,56,47,63,72,18,83,80,87,88,48,19,19,21,29,42,18,84,47,45,44,3,91,76,42,87,28,47,48,48,33,47,85,43,43,81,4,6,4,4,19,12,84,32,52,4,76.0,19.0,38.0,Normal
Wardell,Stuvaints,Green Bay,QB,Utah State,26,83,11/2/98,76,219,1,10,5,Field General - QB,84,76,83,91,60,83,76,28,77,54,68,15,20,69,12,11,22,23,90,66,26,40,14,17,16,15,83,16,18,14,81,15,8,11,32,16,17,16,20,16,15,86,48,60,25,88,85,92,91,91,89,90,49,20,4,220.0,55.0,100.8,Normal
Fletcher,Burruss,Green Bay,DT,UCLA,29,83,10/4/95,75,314,1,97,9,,71,61,72,82,88,85,23,80,12,11,36,22,24,57,4,64,83,92,92,26,14,17,12,38,33,4,81,44,44,42,6,87,73,13,86,14,41,45,49,14,21,73,16,30,88,2,6,9,8,19,19,93,32,38,3,64.0,21.333333,17.5,Normal
Palmer,Kinzer,Jacksonville,P,Mississippi St.,30,83,7/28/95,77,230,1,9,7,Power - KP,67,50,61,86,56,70,16,26,25,20,41,15,39,45,15,10,25,24,87,14,91,95,10,17,13,15,83,21,21,21,17,16,10,10,40,17,21,21,21,15,15,72,10,19,33,16,20,26,19,43,18,71,17,16,4,16.0,4.0,9.5,Normal
Alfonso,Lenc,Seattle,P,Texas,29,83,1/4/96,74,208,1,4,7,Power - KP,75,66,33,87,49,73,18,26,15,14,40,15,28,56,13,9,15,15,92,22,91,97,9,18,11,14,83,19,16,18,19,15,8,8,39,17,15,18,18,14,17,76,15,8,29,17,24,27,23,35,22,73,14,16,4,16.2,4.05,7.5,Normal
Duriel,Zecher,Kansas City,MLB,Missouri,25,83,3/10/00,71,237,1,32,4,Run Stopper - MLB,84,74,78,95,74,89,32,77,17,21,54,34,64,72,6,49,87,81,94,42,11,20,10,17,65,10,83,45,45,45,6,88,61,48,94,15,45,45,45,20,37,87,38,31,88,6,6,6,6,13,16,89,29,66,3,45.0,15.0,30.0,Normal
Kris,Titus,Baltimore,FB,Maine,31,83,5/27/94,75,305,1,42,8,Blocking - FB,77,70,83,86,86,83,65,74,12,58,66,45,70,60,36,66,79,79,85,60,19,15,11,100,53,45,85,71,48,54,7,72,74,35,70,42,73,57,61,55,41,71,59,68,80,7,6,4,6,25,17,90,66,58,1,2.8725,2.8725,0.1675,Normal
Ruben,Tulloch,Kansas City,WR,SMU,25,83,4/22/00,74,203,1,4,2,Slot - WR,90,81,92,89,68,84,85,33,25,81,72,82,97,90,77,8,27,49,92,81,23,25,39,33,11,86,84,37,26,31,10,11,11,7,35,88,60,32,32,89,87,92,77,72,35,11,20,26,14,48,16,89,65,16,4,6.495208,1.623802,3.519025,Normal
Artimus,Markland,Minnesota,C,Alabama,32,83,5/30/93,76,307,1,78,9,Pass Protector - C,73,70,72,87,86,94,26,28,12,10,22,19,32,61,4,12,36,84,93,22,21,16,12,76,12,4,84,83,79,85,6,22,11,7,28,14,76,83,81,16,15,70,18,24,31,6,6,9,4,20,10,91,29,14,2,18.0,9.0,9.25,Normal
Morrie,Ogle,Washington,RE,Texas AM,36,83,3/26/89,75,250,1,24,14,Smaller Speed Rusher - DE,85,84,81,84,85,87,41,81,12,18,64,20,49,70,4,81,89,92,92,55,17,22,11,28,49,7,85,43,46,45,8,87,75,64,85,33,44,44,46,17,40,84,44,37,86,8,6,4,6,20,13,88,42,60,1,6.1,6.1,4.995,Normal
Rian,Hanner,Los Angeles N,DT,Florida State,25,82,1/18/00,77,297,1,55,1,Power Rusher - DT,82,71,81,83,92,89,54,78,12,40,34,17,48,67,4,76,79,82,91,49,19,16,6,14,39,10,83,47,48,43,6,86,81,22,84,15,44,42,41,11,18,79,35,45,85,10,6,9,5,18,15,88,49,51,4,9.410122,2.352531,7.643653,Normal
Enid,Wyhonic,Arizona,DT,Miami,39,82,9/1/86,80,295,1,93,17,,70,74,83,80,90,84,19,92,12,17,47,10,42,58,4,69,85,89,92,16,32,31,11,21,20,5,82,43,44,43,4,82,77,36,83,13,46,47,47,12,13,74,13,47,79,4,6,5,4,36,12,90,40,27,1,5.5,5.5,4.25,Normal
Vlad,Herchman,Indianapolis,SS,California,27,82,7/19/98,72,200,1,0,4,Run Support - S,89,83,79,96,69,82,71,56,15,46,57,55,76,88,36,41,74,58,89,68,8,11,54,17,71,36,83,32,34,33,8,84,38,72,87,45,39,38,36,41,67,88,69,29,82,5,6,3,5,22,9,86,24,76,4,60.0,15.0,26.0,Normal
Zeke,Wykoff,Chicago,TE,Notre Dame,26,82,3/10/99,78,260,0,85,5,Vertical Threat - TE,85,73,86,93,76,84,71,56,15,60,73,84,97,71,66,51,48,69,95,61,15,24,15,57,27,70,82,61,58,61,15,38,42,27,58,74,63,63,61,73,86,85,53,70,48,14,17,19,16,39,15,90,75,33,4,50.0,12.5,22.893,Normal
Akiem,Ingersoll,Cleveland,P,New Mexico,29,82,9/13/95,72,217,0,13,7,Power - KP,77,64,47,86,41,66,11,20,16,12,33,10,23,49,10,8,13,19,83,9,87,96,10,14,12,15,83,18,13,21,15,14,11,13,26,11,17,19,16,14,15,68,14,15,32,20,25,29,18,30,19,60,13,17,2,4.0,2.0,2.75,Normal
Le-Lo,Treu,Miami,TE,Georgia Tech,32,82,9/13/92,78,245,1,83,8,Vertical Threat - TE,91,83,90,88,74,86,88,34,13,75,77,82,83,76,71,8,17,55,80,80,17,22,19,42,10,75,83,60,55,61,6,16,11,12,34,77,59,58,58,78,83,90,75,70,32,7,10,17,11,33,12,76,71,20,1,2.0,2.0,0.0,Normal
Solly,Lawler,Baltimore,WR,Clemson,33,82,6/6/92,73,212,1,10,12,Physical - WR,85,88,91,94,77,81,92,44,22,81,74,89,89,86,79,34,37,51,92,87,19,21,70,27,32,83,82,42,26,25,17,30,28,39,28,88,53,37,39,80,93,91,86,79,53,12,10,14,13,37,22,98,60,35,1,5.0,5.0,5.0,Normal
Goldie,Danenhauer,San Francisco,CB,Oregon,25,82,10/6/99,70,200,1,2,4,Zone - CB,91,81,81,88,57,83,68,46,10,50,57,53,75,79,31,38,78,53,90,75,16,21,66,26,76,34,83,36,39,37,8,80,34,79,78,41,33,37,36,37,57,91,65,42,70,4,6,8,6,26,10,87,41,85,5,88.884,17.7768,15.858889,Normal
Jah,Caravello,Pittsburgh,SS,Texas,28,82,4/21/97,73,210,1,25,7,Run Support - S,89,81,88,89,58,84,64,55,15,39,64,58,78,77,12,53,84,68,88,71,16,20,34,23,67,9,82,33,34,37,4,84,46,75,85,26,33,33,37,21,61,87,57,55,82,8,6,7,7,22,16,83,41,76,4,8.0,2.0,4.0,Normal
Hanford,Quaerna,Chicago,DT,Clemson,32,82,4/28/93,72,305,1,50,10,,75,68,73,79,87,84,15,83,12,10,40,15,31,57,7,68,84,88,78,13,25,24,10,34,25,4,81,49,42,46,8,82,79,12,85,13,46,41,45,13,13,74,8,39,87,6,6,6,7,25,16,84,22,29,3,42.75,14.25,27.25,Normal
Dj,Belden,Kansas City,K,Georgia Tech,30,82,7/14/95,76,199,1,7,8,Accurate - KP,75,52,64,80,46,70,29,14,14,15,24,10,28,44,11,10,12,15,87,27,93,95,11,16,15,8,81,20,17,16,22,18,10,12,10,12,19,21,16,9,11,74,16,14,16,23,25,34,20,25,24,63,15,15,4,25.6,6.4,17.75,Normal
Harrie,Machado,Denver,HB,Ohio State,26,82,12/17/98,70,212,1,27,5,Elusive Back - HB,92,85,91,88,76,79,85,28,27,88,91,56,62,88,43,13,29,44,78,85,15,18,60,37,13,59,81,61,34,30,16,16,10,18,33,56,45,26,36,60,51,92,79,84,29,11,25,30,18,29,14,86,76,17,4,8.0,2.0,4.0,Normal
Carey,Mccluskey,Miami,LE,Miami,26,82,5/28/99,77,263,1,15,4,Smaller Speed Rusher - DE,87,87,86,84,87,81,32,79,11,19,36,21,39,80,12,84,75,81,85,34,13,21,12,10,40,15,84,45,42,46,9,81,76,28,86,21,47,46,46,21,25,87,31,35,84,7,6,6,5,18,13,77,30,48,4,14.018202,3.504551,14.018202,Normal
Curtland,Principe,Detroit,WR,Alabama,24,82,3/26/01,74,189,1,1,3,,92,92,79,84,60,82,92,26,21,76,72,77,83,94,79,11,23,40,88,86,17,18,83,24,15,84,83,29,22,17,13,20,9,17,33,72,42,27,22,77,82,99,75,51,29,6,10,15,19,31,19,84,41,22,4,17.46179,4.365448,17.46179,Normal
Deauntae,Bunch,Los Angeles A,RT,Notre Dame,22,82,2/28/03,81,321,1,76,1,Power - OT,79,74,72,89,88,84,46,33,49,37,58,54,56,61,27,38,47,88,99,38,13,16,14,86,15,36,82,82,80,83,32,34,36,12,23,45,83,83,87,44,57,69,38,58,45,37,43,43,36,53,30,96,46,13,4,33.160944,8.290236,33.160944,Normal
Felipe,Orvis,New York A,LG,Clemson,28,82,8/19/97,76,324,1,76,5,Power - G,63,48,74,90,90,84,22,27,12,15,42,15,31,49,7,9,40,88,89,13,23,34,7,83,12,6,84,85,77,86,6,17,25,14,28,16,83,80,82,20,17,68,20,34,29,3,6,6,7,13,17,91,29,12,4,8.0,2.0,4.0,Normal
Ordell,Conaty,Minnesota,SS,Michigan,27,82,1/21/98,71,207,1,44,5,Run Support - S,88,85,84,91,69,85,55,64,10,44,61,52,71,80,11,49,83,64,94,69,12,22,51,18,64,13,80,32,34,37,15,83,41,62,92,13,31,39,31,15,55,90,62,39,86,10,10,16,14,21,19,85,23,72,3,36.0,12.0,14.605,Normal
Armegis,Kopp,Atlanta,MLB,Idaho,30,82,7/10/95,74,238,1,55,6,Run Stopper - MLB,90,88,82,89,72,90,53,75,38,33,65,50,53,77,7,68,87,80,93,53,13,22,14,23,58,13,83,45,43,44,36,90,62,45,88,18,44,48,42,22,53,87,42,36,90,40,41,46,45,68,49,86,40,67,3,21.5,7.166667,10.16,Normal
Da'Norris,Moroski,Buffalo,WR,Boise State,25,82,2/3/00,72,190,1,10,3,Slot - WR,93,85,85,88,64,86,90,26,26,80,78,82,91,84,75,9,20,38,88,92,15,20,72,21,11,83,81,28,28,18,24,20,8,14,28,75,41,27,22,84,85,91,78,51,29,19,27,31,31,38,28,78,45,17,4,53.058,13.2645,18.1,Normal
Taco,Chilton,Chicago,CB,Washington,25,82,12/17/99,72,200,1,6,3,Zone - CB,92,92,93,91,62,85,60,46,20,58,58,50,68,92,30,46,65,51,95,73,24,20,51,22,77,38,84,34,39,36,18,87,39,69,78,38,35,34,34,39,68,89,69,32,62,13,15,18,21,26,14,77,38,83,3,40.0,13.333333,21.256,Normal
Dujuan,Easy,Cincinnati,MLB,Wyoming,29,82,7/8/96,74,245,1,55,5,Field General - MLB,92,84,78,97,77,82,48,72,30,30,61,48,78,80,29,50,84,84,93,48,54,71,7,16,66,37,80,46,48,44,8,84,58,49,90,30,49,46,41,45,61,85,43,38,91,12,16,21,23,30,24,89,44,73,4,36.0,9.0,10.0,Normal
Petey,Dolbin,Tampa Bay,RT,Central Michigan,26,82,11/21/98,77,312,1,67,3,Power - OT,70,67,76,92,86,82,39,29,10,36,46,40,46,54,28,29,31,87,93,25,25,23,13,91,10,38,83,81,85,87,2,32,34,8,34,31,86,91,83,39,41,62,24,36,38,6,6,3,8,29,7,86,34,12,4,6.178985,1.544746,2.659671,Normal
Grant,Carman,Indianapolis,WR,USC,27,82,10/5/97,76,223,1,11,5,Physical - WR,87,84,94,91,71,81,83,41,31,78,71,89,89,83,78,10,42,56,88,77,15,22,76,42,14,80,82,43,30,35,28,16,10,20,40,83,58,32,38,81,93,89,71,75,55,28,33,39,39,48,29,92,68,20,4,8.0,2.0,4.0,Normal
Night,Mcelwain,New England,RG,Michigan,27,82,12/10/97,75,350,1,71,5,Power - G,51,53,62,87,93,85,23,22,12,18,31,24,26,47,4,10,32,90,91,18,13,18,7,81,17,9,81,79,78,84,10,19,21,19,30,13,82,74,84,16,15,65,20,34,24,4,6,3,4,19,14,83,28,22,3,57.0,19.0,36.5,Normal
Whit,Devree,Denver,RT,Notre Dame,30,82,1/12/95,80,315,1,69,7,Power - OT,69,65,70,95,86,87,9,33,12,12,31,17,29,48,10,12,40,82,89,9,14,16,9,84,11,9,82,76,72,83,4,21,11,8,25,13,87,87,88,16,14,70,12,9,31,8,6,7,5,9,14,94,23,13,5,87.5,17.5,35.0,Normal
Marques,Julien,Los Angeles A,HB,Alabama,27,82,3/9/98,73,242,1,22,4,Power Back - HB,94,88,96,87,81,79,83,40,42,87,95,58,67,87,51,20,41,56,91,88,15,17,57,49,21,59,83,56,35,36,33,33,23,25,39,59,48,40,42,69,61,89,76,90,41,22,37,47,35,43,24,92,86,26,1,5.25,5.25,5.25,Normal
Hillary,Binns,Baltimore,RE,Penn State,26,82,12/15/98,77,257,1,99,4,Power Rusher - DE,91,87,95,78,81,81,47,79,17,34,50,41,56,76,21,70,83,85,88,46,24,31,12,26,45,27,80,43,44,45,8,77,83,27,84,32,44,44,44,30,44,89,41,35,84,5,6,12,6,21,13,79,37,53,4,11.342391,2.835598,8.916701,Normal
Uche,Ridgle,Pittsburgh,MLB,LSU,26,82,8/13/99,72,237,1,6,5,Field General - MLB,89,85,86,92,76,85,71,77,12,49,74,50,71,82,37,63,93,80,95,76,16,21,19,27,64,48,83,47,46,44,6,89,55,57,93,40,43,44,45,51,55,87,59,51,82,7,6,6,8,31,15,92,66,68,3,41.0,13.666667,13.84,Normal
Perce,Olander,New York N,CB,Stanford,26,82,7/3/99,73,192,1,21,4,Zone - CB,92,91,88,90,65,80,69,52,10,49,61,61,79,88,26,45,60,45,92,72,32,33,44,14,77,32,82,36,37,37,5,80,39,86,72,40,33,36,37,38,71,90,65,32,66,4,6,8,7,31,14,87,40,84,4,8.0,2.0,4.0,Normal
Bourbon,Welborne,New York A,ROLB,Murray State,29,82,8/28/96,71,225,1,56,6,Pass Coverage - OLB,88,74,93,91,67,83,36,69,12,18,44,33,63,70,2,60,87,71,89,38,16,19,13,22,64,6,84,17,43,42,9,84,48,53,92,19,26,44,44,17,51,89,34,36,92,6,6,3,8,28,11,89,30,76,4,8.0,2.0,4.0,Normal
Stacey,Oordt,Green Bay,LE,Michigan,27,82,12/3/97,77,277,1,52,6,Run Stopper - DE,86,79,87,83,85,89,28,80,12,19,30,18,29,70,4,67,79,88,91,32,11,12,8,16,39,8,82,43,47,44,4,85,80,32,88,13,46,47,44,13,14,83,22,29,85,4,6,5,4,22,12,86,26,49,4,96.0,24.0,34.646928,Normal
Dwan,Figaro,New England,ROLB,W. Michigan,29,82,12/14/95,73,229,1,14,7,Pass Coverage - OLB,86,81,75,88,71,91,42,71,12,33,61,42,73,69,8,49,84,81,85,46,12,22,7,13,65,5,81,44,45,47,5,95,55,44,91,14,47,46,41,18,30,85,39,40,93,3,6,6,7,23,12,88,45,71,3,33.0,11.0,20.6,Normal
Shelton,Banks,Carolina,RG,UL Lafayette,29,82,8/25/96,78,335,1,50,5,Power - G,61,62,71,93,89,88,26,31,12,24,37,19,41,47,7,12,37,89,93,29,21,19,9,88,12,8,81,75,77,78,3,25,27,11,25,11,84,87,88,13,26,68,11,12,39,6,6,5,4,29,16,85,37,15,5,100.0,20.0,44.0,Normal
Rico,Thelwell,Houston,WR,Houston,25,82,10/29/99,70,165,1,3,2,Slot - WR,93,88,79,91,51,85,88,19,17,73,69,85,84,94,80,11,11,32,84,84,14,18,78,20,10,84,82,26,23,17,7,17,8,17,30,75,49,22,16,85,82,91,79,37,20,9,15,21,9,26,15,85,29,10,4,5.689104,1.422276,1.137528,Normal
Red,Toogood,Jacksonville,HB,Clemson,26,82,1/26/99,70,215,1,1,4,Elusive Back - HB,93,92,87,87,68,82,82,27,27,83,88,54,74,87,52,8,24,44,86,83,19,18,81,36,15,62,80,52,30,37,31,13,11,16,36,58,30,25,17,69,60,95,78,75,34,31,40,44,37,52,33,87,78,19,4,8.0,2.0,4.0,Normal
D'Brickashaw,Shekleton,Carolina,FS,TCU,26,82,6/16/99,74,202,1,7,4,Run Support - S,94,82,78,92,63,85,66,59,10,50,67,68,77,82,35,43,90,56,95,70,23,22,62,29,68,33,80,34,35,36,2,87,36,73,81,44,32,32,32,41,68,91,66,55,79,5,6,7,7,22,22,87,39,78,4,8.0,2.0,4.0,Normal
Marviel,Witucki,Miami,QB,Alabama,27,82,3/2/98,73,220,0,1,5,Field General - QB,84,82,69,83,61,78,82,24,80,73,65,19,31,76,10,12,23,28,83,71,13,22,10,18,11,16,84,12,13,15,91,18,11,13,33,14,26,12,22,16,21,82,58,55,24,93,87,93,82,83,90,95,51,17,4,212.4,53.1,93.171,Normal
Marion,Paris,New York N,LE,Penn State,21,81,10/3/03,76,250,1,51,0,Smaller Speed Rusher - DE,93,83,89,81,81,79,51,82,25,36,47,33,43,75,8,81,78,86,88,53,23,20,24,17,50,15,82,43,43,46,28,75,80,40,80,22,36,40,43,21,33,87,45,45,74,18,18,19,15,20,29,95,45,55,4,8.0,2.0,4.0,Normal
Clair,Cercone,Minnesota,LS,Rutgers,38,81,7/28/87,73,229,1,42,13,Power - LS,69,78,79,68,74,72,21,56,10,22,61,66,69,69,36,41,60,66,94,39,12,12,13,59,15,46,82,55,45,53,5,36,46,16,63,49,67,55,61,46,60,76,35,36,66,12,9,7,11,34,8,73,28,20,3,4.025,1.341667,1.515,Normal
Lynn,Hester,Atlanta,P,Clemson,31,81,6/1/94,77,229,1,13,10,Accurate - KP,67,60,67,84,50,72,19,19,16,9,40,15,36,49,15,8,16,24,93,9,92,89,11,18,15,15,79,26,13,13,25,20,9,10,34,13,30,19,13,19,13,72,10,10,26,35,42,51,25,55,28,56,15,15,3,8.65,2.883333,4.325,Normal
Alterraun,Birden,Washington,HB,Alabama,26,81,3/2/99,73,228,1,8,3,Power Back - HB,88,79,80,87,81,76,86,40,29,90,95,43,63,79,38,12,39,43,94,84,18,17,71,41,12,47,79,55,34,40,16,17,11,12,47,47,36,29,24,54,42,88,71,81,38,17,20,30,18,30,13,89,88,17,4,8.0,2.0,4.0,Normal
Kendyl,Tyner,Dallas,P,California,36,81,10/6/88,75,202,1,5,13,Power - KP,73,63,76,86,53,70,24,18,32,27,61,43,66,46,13,14,22,22,98,56,91,94,8,15,11,14,80,21,17,19,21,30,12,12,38,15,24,18,18,17,37,73,33,9,36,23,30,32,20,52,15,82,26,25,2,6.4,3.2,3.3,Normal
Matthias,Munchak,Houston,QB,Ohio State,23,81,10/3/01,75,218,1,7,2,Field General - QB,86,78,76,87,60,82,78,20,73,55,63,13,22,73,8,11,14,15,89,60,21,18,10,12,9,9,81,14,14,12,87,15,12,11,31,15,11,13,14,10,12,81,44,38,26,87,85,91,88,92,88,87,29,10,4,36.279243,9.069811,36.279243,Normal
Neil,Holloway,Tennessee,WR,Alabama,30,81,12/20/94,73,190,1,0,7,,93,95,87,83,62,77,89,26,29,71,75,82,85,87,80,11,19,43,82,91,14,18,71,20,17,84,83,33,24,13,13,17,9,24,32,81,49,34,31,79,90,94,76,60,30,21,23,28,23,34,23,78,31,25,4,92.0,23.0,46.98,Normal
Stefen,Shello,Cincinnati,CB,Nebraska,25,81,10/15/99,71,202,1,29,3,Zone - CB,95,87,83,93,62,83,59,57,48,53,63,50,79,84,23,46,72,55,92,72,13,17,54,20,75,29,80,35,32,33,34,82,39,72,74,29,32,33,31,31,75,93,67,30,66,43,44,45,42,50,32,83,35,82,4,5.952727,1.488182,1.509256,Normal
Theo,Curcio,Cincinnati,HB,Illinois,25,81,3/21/00,69,215,1,30,2,Elusive Back - HB,96,87,92,89,70,81,84,31,27,81,87,48,70,90,51,10,28,40,86,84,11,13,69,38,10,55,80,54,33,42,24,16,10,16,37,44,51,33,35,63,49,93,76,67,25,26,35,38,39,46,35,83,77,17,4,4.126156,1.031539,0.286156,Normal
Duffy,Kennard,Houston,WR,Texas AM,28,81,11/18/96,71,200,1,13,7,Slot - WR,90,85,86,92,66,77,85,21,23,75,69,83,91,85,81,8,25,42,87,92,11,19,83,19,15,83,82,34,25,28,19,21,12,17,36,76,44,31,35,83,85,91,80,71,32,35,30,39,32,43,22,90,43,19,4,72.0,18.0,37.0,Normal
Na'Shan,Engstrom,Chicago,HB,Georgia,26,81,1/14/99,69,215,1,4,5,Elusive Back - HB,92,87,92,87,67,82,86,27,23,80,84,61,72,86,59,16,30,41,85,90,14,20,64,32,16,68,83,51,36,32,18,18,22,15,35,59,33,20,25,75,57,90,82,77,32,14,25,29,28,37,19,85,74,13,3,24.0,8.0,14.0,Normal
Julie,Digris,Atlanta,WR,Tulane,27,81,10/29/97,70,173,1,1,5,Deep Threat - WR,89,84,87,88,59,85,84,27,23,75,77,83,87,84,80,9,29,48,84,84,17,16,62,30,20,79,80,30,11,14,13,30,12,20,33,86,59,27,34,85,87,91,80,40,28,10,10,11,11,22,18,79,32,28,3,39.0,13.0,26.0,Normal
Jasen,Podlesh,Buffalo,DT,Houston,27,81,12/12/97,73,287,1,91,6,Power Rusher - DT,85,84,85,86,86,83,34,79,12,21,32,24,28,67,5,73,82,91,91,38,9,14,6,32,19,8,79,45,45,47,3,83,83,12,81,18,44,43,49,11,21,83,28,33,82,3,6,6,7,27,13,87,29,32,4,68.0,17.0,24.528,Normal
Wendell,Condo,Cleveland,SS,LSU,26,81,9/20/98,75,208,1,9,5,Zone - S,89,88,91,92,59,84,61,55,15,36,67,60,74,81,12,50,86,55,84,66,10,13,56,21,71,16,81,33,37,37,5,85,44,71,78,22,37,37,34,18,69,90,54,45,68,7,6,8,7,24,17,94,39,82,3,36.0,12.0,14.909558,Normal
Mister,Listopad,Cleveland,CB,Northwestern,25,81,5/18/00,72,192,1,0,4,Manto Man - CB,96,93,86,94,63,82,63,48,15,50,57,55,71,89,23,41,65,48,87,71,9,17,40,16,81,36,79,38,35,34,6,83,29,85,73,37,33,32,35,41,57,94,64,44,43,7,6,6,5,23,14,80,32,77,4,8.0,2.0,4.0,Normal
Osi,Sites,Dallas,TE,Wisconsin,26,81,1/18/99,77,255,1,87,3,Vertical Threat - TE,90,80,90,88,73,82,85,36,21,73,72,80,94,70,62,22,37,66,94,75,15,18,14,64,14,70,80,63,63,55,20,36,33,9,36,71,66,66,57,74,82,80,63,70,37,11,20,25,15,33,9,83,73,21,4,50.0,12.5,21.406,Normal
