PFL_Name,Real_Player_Name,Team,Position,PFL_Contract_Value,PFL_Contract_Years,Real_Contract_Value,Real_Contract_Years,Status,Difference
Tevita Tennell,Diontae Johnson,Cleveland Browns,WR,1170000.0,1,1170000.0,1.0,CORRECT,0.0
Shelly Boykin,Donovan Wilson,Dallas Cowboys,SS,21000000.0,3,21000000.0,3.0,CORRECT,0.0
Curtis Teifke,Dre'Mont Jones,Tennessee Titans,LE,8500000.0,1,8500000.0,1.0,CORRECT,0.0
La'Roi Joseph,N/A,Jacksonville,WR,8.0,1,N/A,N/A,NO_TEST_MATCH,N/A
Slade Hoying,E.J. Speed,Houston Texans,ROLB,3500000.0,1,3500000.0,1.0,CORRECT,0.0
Channing Reasons,Elandon Roberts,Las Vegas Raiders,MLB,3010000.0,1,3010000.0,1.0,CORRECT,0.0
Hanik Paulson,N/A,Los Angeles N Rams,P,3.948004,4,N/A,N/A,NO_TEST_MATCH,N/A
Hubbard Toneff,Evan Brown,Arizona Cardinals,LG,11500000.0,2,11500000.0,2.0,CORRECT,0.0
Trevin Levens,N/A,New York N Giants,RG,3.25,1,N/A,N/A,NO_TEST_MATCH,N/A
Laron Betts,Haason Reddick,Tampa Bay Buccaneers,LE,14000000.0,1,14000000.0,1.0,CORRECT,0.0
Wagner Diaz,Isaiah Rodgers,Minnesota Vikings,CB,11045000.0,2,11045000.0,2.0,CORRECT,0.0
Speed Dowd,Jake Bates,Detroit Lions,K,1980000.0,2,1980000.0,2.0,CORRECT,0.0
Alva Chorovich,Jalen Tolbert,Dallas Cowboys,WR,5135719.0,4,5135719.0,4.0,CORRECT,0.0
Nigel Karcher,Jawaan Taylor,Kansas City Chiefs,RT,80000000.0,4,80000000.0,4.0,CORRECT,0.0
Broderick Cone,Jer'Zhan Newton,Washington Commanders,DT,1.965,3,N/A,N/A,NO_CONTRACT_FOUND,N/A
Teddy Goble,Jihaad Campbell,Philadelphia Eagles,ROLB,14903574.0,4,14903574.0,4.0,CORRECT,0.0
Pong Havens,Jonathan Owens,Chicago Bears,SS,4750000.0,2,4750000.0,2.0,CORRECT,0.0
Tyvon Archibald,Jordan Battle,Cincinnati Bengals,SS,5325017.0,4,5325017.0,4.0,CORRECT,0.0
Gaynell Faaola,N/A,New York A Jets,WR,1.75,1,N/A,N/A,NO_TEST_MATCH,N/A
Kerwin Conners,Juan Thornhill,Pittsburgh Steelers,FS,3000000.0,1,3000000.0,1.0,CORRECT,0.0
Stevan Korte,Kader Kohou,Miami Dolphins,CB,3263000.0,1,3263000.0,1.0,CORRECT,0.0
Limas Fortunato,Keeanu Benton,Pittsburgh Steelers,DT,7333122.0,4,7333122.0,4.0,CORRECT,0.0
Baron Mccourty,Keisean Nixon,Green Bay Packers,CB,18000000.0,3,18000000.0,3.0,CORRECT,0.0
Bookie Dellerba,N/A,New Orleans,RT,25.731246,4,N/A,N/A,NO_TEST_MATCH,N/A
Kaipo Lainhart,Keon Coleman,Buffalo Bills,WR,10074258.0,4,10074258.0,4.0,CORRECT,0.0
Macarthur Secord,Khalil Herbert,Indianapolis Colts,HB,1337500.0,1,1337500.0,1.0,CORRECT,0.0
Daleroy Powell,Laiatu Latu,Indianapolis Colts,RE,17031894.0,4,17031894.0,4.0,CORRECT,0.0
Deke Druckenmiller,Laken Tomlinson,Houston Texans,LG,4250000.0,1,4250000.0,1.0,CORRECT,0.0
Terry Studstill,Larry Ogunjobi,Buffalo Bills,DT,6696735.0,1,6696735.0,1.0,CORRECT,0.0
Johan Regan,Luke Wattenberg,Denver Broncos,C,3947720.0,4,3947720.0,4.0,CORRECT,0.0
Khari Cronkhite,Luther Burden III,Chicago Bears,WR,10964030.0,4,10964030.0,4.0,CORRECT,0.0
Jurrell D'Orazio,Matthew Bergeron,Atlanta Falcons,LG,8978480.0,4,8978480.0,4.0,CORRECT,0.0
Onterrio Katnik,Matthew Golden,Green Bay Packers,WR,17575338.0,4,17575338.0,4.0,CORRECT,0.0
Ralf Million,N/A,New York N Giants,ROLB,4.015708,4,N/A,N/A,NO_TEST_MATCH,N/A
Boob Deramus,Mike Hilton,Miami Dolphins,CB,1422500.0,1,1422500.0,1.0,CORRECT,0.0
Estus Manders,Mike Green,Baltimore Ravens,LE,7419415.0,4,7419415.0,4.0,CORRECT,0.0
Kez Tamm,Nick Cross,Indianapolis Colts,FS,5065638.0,4,5065638.0,4.0,CORRECT,0.0
Shanley Herrmann,Noah Brown,Washington Commanders,WR,3250000.0,1,3250000.0,1.0,CORRECT,0.0
Dilly Milton,N/A,Los Angeles N Rams,ROLB,2.839,3,N/A,N/A,NO_TEST_MATCH,N/A
Colston Griggs,N/A,Jacksonville,RG,37.5,3,N/A,N/A,NO_TEST_MATCH,N/A
Rudi Kaeding,Payton Wilson,Pittsburgh Steelers,ROLB,5596312.0,4,5596312.0,4.0,CORRECT,0.0
Rob Clady,Peter Skoronski,Tennessee Titans,LG,19673318.0,4,19673318.0,4.0,CORRECT,0.0
Flip Niziolek,N/A,Los Angeles A Chargers,WR,14.188778,4,N/A,N/A,NO_TEST_MATCH,N/A
Darrell Neufeld,Riley Dixon,Tampa Bay Buccaneers,P,6000000.0,2,6000000.0,2.0,CORRECT,0.0
Rogers Pride,Riley Moss,Denver Broncos,CB,5447487.0,4,5447487.0,4.0,CORRECT,0.0
Rocket Nabors,N/A,New York N Giants,QB,9.5,1,N/A,N/A,NO_TEST_MATCH,N/A
Bishop Gustafson,Sam Williams,Dallas Cowboys,RE,6526744.0,4,6526744.0,4.0,CORRECT,0.0
Elston Gaynor,Samaje Perine,Cincinnati Bengals,HB,3600000.0,2,3600000.0,2.0,CORRECT,0.0
Don Griffen,Samuel Womack III,Indianapolis Colts,CB,5.943324,4,N/A,N/A,NO_CONTRACT_FOUND,N/A
Dezman Catano,N/A,Los Angeles N Rams,LG,10.25271,4,N/A,N/A,NO_TEST_MATCH,N/A
Sig Schamel,N/A,New Orleans,TE,41.0,4,N/A,N/A,NO_TEST_MATCH,N/A
Gordy Boatswain,Terrion Arnold,Detroit Lions,CB,14343710.0,4,14343710.0,4.0,CORRECT,0.0
Aldon Cappelletti,Tershawn Wharton,Carolina Panthers,DT,45050000.0,3,45050000.0,3.0,CORRECT,0.0
Bobbie Brophy,N/A,New York A Jets,SS,1.263,1,N/A,N/A,NO_TEST_MATCH,N/A
Cie Levels,TreVeyon Henderson,New England Patriots,HB,11143234.0,4,11143234.0,4.0,CORRECT,0.0
Cato Klimek,Trey Benson,Arizona Cardinals,HB,6059606.0,4,6059606.0,4.0,CORRECT,0.0
Neiko Lafavor,N/A,Jacksonville,LT,41.5,3,N/A,N/A,NO_TEST_MATCH,N/A
Visanthe Papit,N/A,New York A Jets,LE,16.321674,4,N/A,N/A,NO_TEST_MATCH,N/A
Marvel Baldischwiler,Zaven Collins,Arizona Cardinals,LE,14000000.0,2,14000000.0,2.0,CORRECT,0.0
Sonny Eubanks,Zay Jones,Arizona Cardinals,WR,2400000.0,1,2400000.0,1.0,CORRECT,0.0
Wade Kenn,A'Shawn Robinson,Carolina Panthers,DT,22500000.0,3,22500000.0,3.0,CORRECT,0.0
Drayton Merkel,Aaron Banks,Green Bay Packers,LG,77000000.0,4,77000000.0,4.0,CORRECT,0.0
Quinton Dill,Alfred Collins,San Francisco 49ers,DT,10306886.0,4,10306886.0,4.0,CORRECT,0.0
Aundra Taua,Anthony Walker Jr.,Tampa Bay Buccaneers,ROLB,1422500.0,1,1422500.0,1.0,CORRECT,0.0
Hiram Tidd,Arden Key,Tennessee Titans,RE,21000000.0,3,21000000.0,3.0,CORRECT,0.0
Elwyn Fenenbock,Austin Corbett,Carolina Panthers,C,3000000.0,1,3000000.0,1.0,CORRECT,0.0
Dekoda Tolleson,Avonte Maddox,Detroit Lions,CB,1422500.0,1,1422500.0,1.0,CORRECT,0.0
Anton Decoud,Beanie Bishop,Pittsburgh Steelers,CB,2855000.0,3,2855000.0,3.0,CORRECT,0.0
Brunswick Keisel,Benjamin Morrison,Tampa Bay Buccaneers,CB,8215968.0,4,8215968.0,4.0,CORRECT,0.0
Mack Belding,N/A,Los Angeles A Chargers,CB,0.5,1,N/A,N/A,NO_TEST_MATCH,N/A
Jacquies Scroggins,N/A,Jacksonville,HB,3.276528,4,N/A,N/A,NO_TEST_MATCH,N/A
Terrance Garay,Blake Gillikin,Arizona Cardinals,P,3700000.0,2,3700000.0,2.0,CORRECT,0.0
Le'Shai Haggans,N/A,New York A Jets,CB,37.0,3,N/A,N/A,NO_TEST_MATCH,N/A
Bart Ori,Bryce Huff,San Francisco 49ers,RE,51100000.0,3,51100000.0,3.0,CORRECT,0.0
Tarzan Villa,Bryce Young,Carolina Panthers,QB,37955071.0,4,37955071.0,4.0,CORRECT,0.0
Manase Keating,C.J. Ham,Minnesota Vikings,FB,8650000.0,2,8650000.0,2.0,CORRECT,0.0
Amod Eberts,Caleb Williams,Chicago Bears,QB,39486058.0,4,39486058.0,4.0,CORRECT,0.0
Shawnbrey Parquet,Calen Bullock,Houston Texans,FS,5856998.0,4,5856998.0,4.0,CORRECT,0.0
Trusse Conner,Calvin Austin,Pittsburgh Steelers,WR,4164340.0,4,4164340.0,4.0,CORRECT,0.0
Sione Trippi,Cameron Johnston,Pittsburgh Steelers,P,9000000.0,3,9000000.0,3.0,CORRECT,0.0
Zackary So'Oto,Carson Schwesinger,Cleveland Browns,MLB,11800400.0,4,11800400.0,4.0,CORRECT,0.0
Oren Flones,Clark Phillips III,Atlanta Falcons,CB,4613528.0,4,4613528.0,4.0,CORRECT,0.0
Laquan Englund,Clelin Ferrell,Washington Commanders,RE,2000000.0,1,2000000.0,1.0,CORRECT,0.0
Jamell Steele,Coby Bryant,Seattle Seahawks,SS,4467804.0,4,4467804.0,4.0,CORRECT,0.0
Kim Sinnott,Corliss Waitman,Pittsburgh Steelers,P,985000.0,1,985000.0,1.0,CORRECT,0.0
Judson Tippins,DJ Chark,Atlanta Falcons,WR,1300000.0,1,1300000.0,1.0,CORRECT,0.0
Dinty Dumas,Dalton Kincaid,Buffalo Bills,TE,13427023.0,4,13427023.0,4.0,CORRECT,0.0
Peck Yates,N/A,Jacksonville,SS,22.75,3,N/A,N/A,NO_TEST_MATCH,N/A
Kavika Liwienski,David Edwards,Buffalo Bills,LG,6000000.0,2,6000000.0,2.0,CORRECT,0.0
Bivian Nave,Deatrich Wise,Washington Commanders,RE,3250000.0,1,3250000.0,1.0,CORRECT,0.0
Stuart Fleming,Deion Jones,Tampa Bay Buccaneers,MLB,1255000.0,1,1255000.0,1.0,CORRECT,0.0
Jeremi Asiata,N/A,New York N Giants,CB,15.579395,4,N/A,N/A,NO_TEST_MATCH,N/A
Jerod Heldt,Derick Hall,Seattle Seahawks,LE,9115578.0,4,9115578.0,4.0,CORRECT,0.0
Anwar Zusevics,N/A,New York A Jets,DT,1.4225,1,N/A,N/A,NO_TEST_MATCH,N/A
Arrelious Drumstead,Devin Duvernay,Chicago Bears,WR,1337500.0,1,1337500.0,1.0,CORRECT,0.0
Jermichael Gildea,N/A,New York N Giants,HB,14.5,3,N/A,N/A,NO_TEST_MATCH,N/A
Raphel Ebli,Devin Bush,Cleveland Browns,ROLB,3250000.0,1,3250000.0,1.0,CORRECT,0.0
Torrian Mcadoo,Devonte Wyatt,Green Bay Packers,DT,12861184.0,4,12861184.0,4.0,CORRECT,0.0
Alf Willegale,Donovan Ezeiruaku,Dallas Cowboys,LE,10155086.0,4,10155086.0,4.0,CORRECT,0.0
D'Aundre Chevrier,Dontayvion Wicks,Green Bay Packers,WR,4142548.0,4,4142548.0,4.0,CORRECT,0.0
Dequincy Bunz,Dorian Williams,Buffalo Bills,ROLB,5472806.0,4,5472806.0,4.0,CORRECT,0.0
Tutan Isabel,Elijah Mitchell,Kansas City Chiefs,HB,2500000.0,1,2500000.0,1.0,CORRECT,0.0
Eddie Rosdahl,Emeka Egbuka,Tampa Bay Buccaneers,WR,18172730.0,4,18172730.0,4.0,CORRECT,0.0
Ookie Harrington,Eric Stokes,Las Vegas Raiders,CB,3500000.0,1,3500000.0,1.0,CORRECT,0.0
Patterson Schibanoff,Folorunso Fatukasi,Houston Texans,DT,2.0,1,N/A,N/A,NO_CONTRACT_FOUND,N/A
Gaylon Woodall,Garrett Bradbury,New England Patriots,C,9500000.0,2,9500000.0,2.0,CORRECT,0.0
Kanavis Mcmanus,Graham Glasgow,Detroit Lions,RG,20000000.0,3,20000000.0,3.0,CORRECT,0.0
Brit Nunamaker,Grey Zabel,Seattle Seahawks,LG,18471460.0,4,18471460.0,4.0,CORRECT,0.0
Ziggy Taves,Ja'Quan McMillian,Denver Broncos,CB,1.03,1,N/A,N/A,NO_CONTRACT_FOUND,N/A
Jerron Mertens,Jack Jones,Miami Dolphins,CB,1100000.0,1,1100000.0,1.0,CORRECT,0.0
Putt Wiatrak,Jahlani Tavai,New England Patriots,ROLB,16000000.0,3,16000000.0,3.0,CORRECT,0.0
Jarious Jones-Drew,Jaleel McLaughlin,Denver Broncos,HB,2710000.0,3,2710000.0,3.0,CORRECT,0.0
Ilia Fifer,James Pearce Jr.,Atlanta Falcons,RE,16778784.0,4,16778784.0,4.0,CORRECT,0.0
Vickey Carton,Javon Bullard,Green Bay Packers,FS,6706132.0,4,6706132.0,4.0,CORRECT,0.0
Sammie Sledge,Jaylon Jones,Indianapolis Colts,CB,1200000.0,1,1200000.0,1.0,CORRECT,0.0
Jace Kab,N/A,New York N Giants,RT,16.0,2,N/A,N/A,NO_TEST_MATCH,N/A
Marshall Marefos,Johnathan Hankins,Seattle Seahawks,DT,2115000.0,1,2115000.0,1.0,CORRECT,0.0
Ogemdi Terlep,N/A,New York N Giants,LG,29.0,3,N/A,N/A,NO_TEST_MATCH,N/A
Ickey Kenney,Jordan Meredith,Las Vegas Raiders,LG,750000.0,1,750000.0,1.0,CORRECT,0.0
Gus Sintim,Jordan Stout,Baltimore Ravens,P,4357836.0,4,4357836.0,4.0,CORRECT,0.0
Dusty Searcey,Jordan Morgan,Green Bay Packers,RG,14185596.0,4,14185596.0,4.0,CORRECT,0.0
Yancey Soliai,Josh Simmons,Kansas City Chiefs,LT,14675356.0,4,14675356.0,4.0,CORRECT,0.0
Leslie Robnett,Joshua Williams,Kansas City Chiefs,CB,4326260.0,4,4326260.0,4.0,CORRECT,0.0
Daddy Scoggins,JuJu Smith-Schuster,Kansas City Chiefs,WR,1422500.0,1,1422500.0,1.0,CORRECT,0.0
Demorrio Stein,Kaleb Johnson,Pittsburgh Steelers,HB,6372062.0,4,6372062.0,4.0,CORRECT,0.0
Regan Duckworth,Kalif Raymond,Detroit Lions,WR,10500000.0,2,10500000.0,2.0,CORRECT,0.0
Mervyn Peck,Kavontae Turpin,Dallas Cowboys,WR,13500000.0,3,13500000.0,3.0,CORRECT,0.0
Lindsay Day,N/A,New Orleans,HB,6.654319,4,N/A,N/A,NO_TEST_MATCH,N/A
Paco Beckham,Kenneth Gainwell,Pittsburgh Steelers,HB,1790000.0,1,1790000.0,1.0,CORRECT,0.0
Benjamin Chandler,N/A,New Orleans,CB,7.157108,4,N/A,N/A,NO_TEST_MATCH,N/A
Orien Mcclendon,Lloyd Cushenberry III,Tennessee Titans,C,52.0,4,N/A,N/A,NO_CONTRACT_FOUND,N/A
Lupe Olshansky,Malaki Starks,Baltimore Ravens,FS,16579658.0,4,16579658.0,4.0,CORRECT,0.0
Kellogg Lanza,Maliek Collins,Cleveland Browns,DT,20000000.0,2,20000000.0,2.0,CORRECT,0.0
Le'Ron Foldberg,Marquez Valdes-Scantling,Seattle Seahawks,WR,4000000.0,1,4000000.0,1.0,CORRECT,0.0
Deshone Fronczek,Martin Emerson,Cleveland Browns,CB,5471289.0,4,5471289.0,4.0,CORRECT,0.0
Garo Fraser,Matt Araiza,Kansas City Chiefs,P,960000.0,1,960000.0,1.0,CORRECT,0.0
Johnie Kuykendall,Mekhi Blackmon,Minnesota Vikings,CB,5304084.0,4,5304084.0,4.0,CORRECT,0.0
Kelley Gorin,Michael Hoecht,Buffalo Bills,RE,21000000.0,3,21000000.0,3.0,CORRECT,0.0
Alphonso Fluellen,Mike Jackson,Carolina Panthers,CB,0.965,3,N/A,N/A,NO_CONTRACT_FOUND,N/A
Murrell Youmans,Nick Westbrook-Ikhine,Miami Dolphins,WR,4.99,2,N/A,N/A,NO_CONTRACT_FOUND,N/A
Charle Wisener,Noah Gray,Kansas City Chiefs,TE,18000000.0,3,18000000.0,3.0,CORRECT,0.0
Galand Artoe,N/A,New York A Jets,LT,20.51071,4,N/A,N/A,NO_TEST_MATCH,N/A
Terrell Fiorentino,N/A,Los Angeles N Rams,SS,5.792016,4,N/A,N/A,NO_TEST_MATCH,N/A
Wayne Whitlatch,Ray-Ray McCloud III,Atlanta Falcons,WR,5.0,2,N/A,N/A,NO_CONTRACT_FOUND,N/A
Deron Haymond,Ricky Pearsall,San Francisco 49ers,WR,12538398.0,4,12538398.0,4.0,CORRECT,0.0
Therrian Landers,Robert Woods,Pittsburgh Steelers,WR,2000000.0,1,2000000.0,1.0,CORRECT,0.0
Limbo Mcfadden,Ryan Wright,Minnesota Vikings,P,1750000.0,1,1750000.0,1.0,CORRECT,0.0
Tracey Buben,Sam Martin,Carolina Panthers,P,1600000.0,1,1600000.0,1.0,CORRECT,0.0
Wali Etter,Samson Ebukam,Indianapolis Colts,RE,24000000.0,3,24000000.0,3.0,CORRECT,0.0
Homer Skorich,Sheldon Rankins,Houston Texans,DT,5250000.0,1,5250000.0,1.0,CORRECT,0.0
Sammy Maslowski,N/A,Los Angeles A Chargers,DT,4.5,1,N/A,N/A,NO_TEST_MATCH,N/A
Darin Ruff,Tory Taylor,Chicago Bears,P,4767900.0,4,4767900.0,4.0,CORRECT,0.0
Ham Maskas,N/A,Jacksonville,QB,100.0,5,N/A,N/A,NO_TEST_MATCH,N/A
Rex Rabb,Trey Amos,Washington Commanders,CB,7280020.0,4,7280020.0,4.0,CORRECT,0.0
Gene Attache,N/A,Los Angeles A Chargers,LE,7.571383,4,N/A,N/A,NO_TEST_MATCH,N/A
Khalif Scarbath,N/A,Los Angeles N Rams,WR,10.0,1,N/A,N/A,NO_TEST_MATCH,N/A
Revie Mazurek,Tykee Smith,Tampa Bay Buccaneers,SS,5687018.0,4,5687018.0,4.0,CORRECT,0.0
Shorty Petitti,N/A,Los Angeles A Chargers,TE,1.0,1,N/A,N/A,NO_TEST_MATCH,N/A
Thom Mucker,Tyler Warren,Indianapolis Colts,TE,20960650.0,4,20960650.0,4.0,CORRECT,0.0
Legarrette Durkota,Tyrique Stevenson,Chicago Bears,CB,6449498.0,4,6449498.0,4.0,CORRECT,0.0
Menil Haley,Uchenna Nwosu,Seattle Seahawks,RE,45000000.0,3,45000000.0,3.0,CORRECT,0.0
Torri Doig,Will Reichard,Minnesota Vikings,K,4190620.0,4,4190620.0,4.0,CORRECT,0.0
Damik Vatterott,Will Johnson,Arizona Cardinals,CB,9410768.0,4,9410768.0,4.0,CORRECT,0.0
Edmund Stonesifer,Yetur Gross-Matos,San Francisco 49ers,LE,18000000.0,2,18000000.0,2.0,CORRECT,0.0
Derrel Rodriguez,Alec Ingold,Miami Dolphins,FB,12200000.0,3,12200000.0,3.0,CORRECT,0.0
Gern Brittenum,N/A,Los Angeles A Chargers,C,0.17,1,N/A,N/A,NO_TEST_MATCH,N/A
Erroll Piro,N/A,Jacksonville,FS,7.6,3,N/A,N/A,NO_TEST_MATCH,N/A
Rodrick Shea,Ashtyn Davis,Miami Dolphins,FS,2500000.0,1,2500000.0,1.0,CORRECT,0.0
Corby Mcmahon,Austin Jackson,Miami Dolphins,RT,36000000.0,3,36000000.0,3.0,CORRECT,0.0
Crawford Zieman,N/A,New York A Jets,CB,4.593646,4,N/A,N/A,NO_TEST_MATCH,N/A
Spiro Lomack,Baron Browning,Arizona Cardinals,LE,15000000.0,2,15000000.0,2.0,CORRECT,0.0
Birdie Croston,Ben Powers,Denver Broncos,LG,51500000.0,4,51500000.0,4.0,CORRECT,0.0
Guss Broussard,Bilal Nichols,Arizona Cardinals,DT,21000000.0,3,21000000.0,3.0,CORRECT,0.0
Blue Sobomehin,N/A,Los Angeles N Rams,HB,4.763762,4,N/A,N/A,NO_TEST_MATCH,N/A
Hurvin Capece,Bobby Brown III,Carolina Panthers,DT,22.0,3,N/A,N/A,NO_CONTRACT_FOUND,N/A
Kenrick Brazile,Brady Christensen,Carolina Panthers,LT,2787500.0,1,2787500.0,1.0,CORRECT,0.0
Rohan Glatz,N/A,New Orleans,DT,11.26356,4,N/A,N/A,NO_TEST_MATCH,N/A
Alyn Whitmore,Carrington Valentine,Green Bay Packers,CB,3940704.0,4,3940704.0,4.0,CORRECT,0.0
Jairus Ash,Chad Ryland,Arizona Cardinals,K,915000.0,1,915000.0,1.0,CORRECT,0.0
Toddrick Borelli,N/A,New York N Giants,LE,19.0,3,N/A,N/A,NO_TEST_MATCH,N/A
Ivory Reveiz,Chigoziem Okonkwo,Tennessee Titans,TE,5.16434,4,N/A,N/A,NO_CONTRACT_FOUND,N/A
Bradie Spurrier,Christian Izien,Tampa Bay Buccaneers,CB,2705000.0,3,2705000.0,3.0,CORRECT,0.0
Armand Sedbrook,N/A,New Orleans,HB,1.17,1,N/A,N/A,NO_TEST_MATCH,N/A
Sandro Mcgrath,Cooper Beebe,Dallas Cowboys,C,5939718.0,4,5939718.0,4.0,CORRECT,0.0
Zeron Stroughter,Cornelius Lucas III,Cleveland Browns,LT,8.5,2,N/A,N/A,NO_CONTRACT_FOUND,N/A
Demario Piepul,N/A,Los Angeles N Rams,LT,0.5,1,N/A,N/A,NO_TEST_MATCH,N/A
Rae Cure,N/A,Los Angeles A Chargers,DT,2.35,1,N/A,N/A,NO_TEST_MATCH,N/A
Ephesians Raji,Damar Hamlin,Buffalo Bills,FS,2000000.0,1,2000000.0,1.0,CORRECT,0.0
Hoby Roten,Daniel Whelan,Green Bay Packers,P,1030000.0,1,1030000.0,1.0,CORRECT,0.0
Jean-Phillipe Wade,Darien Porter,Las Vegas Raiders,CB,6724094.0,4,6724094.0,4.0,CORRECT,0.0
Rosevelt Clarke,N/A,Jacksonville,DT,36.5,3,N/A,N/A,NO_TEST_MATCH,N/A
Stephone Saipaia,Demarcus Robinson,San Francisco 49ers,WR,8000000.0,2,8000000.0,2.0,CORRECT,0.0
Jemeel Mccleon,Demetrius Knight Jr.,Cincinnati Bengals,ROLB,9012482.0,4,9012482.0,4.0,CORRECT,0.0
Jahri Sword,N/A,Jacksonville,RE,4.0,1,N/A,N/A,NO_TEST_MATCH,N/A
Darrick Demarie,Devaughn Vele,Denver Broncos,WR,4124480.0,4,4124480.0,4.0,CORRECT,0.0
Jamin Benners,Donovan Jackson,Minnesota Vikings,LG,17177054.0,4,17177054.0,4.0,CORRECT,0.0
Thabiti Arrington,Dylan Sampson,Cleveland Browns,HB,5130564.0,4,5130564.0,4.0,CORRECT,0.0
Slok Cortez,Eddie Goldman,Washington Commanders,DT,1255000.0,1,1255000.0,1.0,CORRECT,0.0
Munger Boss,N/A,Jacksonville,RE,3.25,1,N/A,N/A,NO_TEST_MATCH,N/A
Noble Roper,Evan McPherson,Cincinnati Bengals,K,14000000.0,3,14000000.0,3.0,CORRECT,0.0
Mason Crooms,N/A,New York N Giants,RT,25.551258,4,N/A,N/A,NO_TEST_MATCH,N/A
Daryon Grice,Henry To'oTo'o,Houston Texans,LOLB,4084976.0,4,4084976.0,4.0,CORRECT,0.0
Ronyell Macafee,Ifeatu Melifonwu,Miami Dolphins,SS,3010000.0,1,3010000.0,1.0,CORRECT,0.0
Tron Duncan,Isaiah Simmons,Green Bay Packers,SS,1337500.0,1,1337500.0,1.0,CORRECT,0.0
Roc Cushing,Ja'Lynn Polk,New England Patriots,WR,9694744.0,4,9694744.0,4.0,CORRECT,0.0
Terrail Donlin,Jacob Parrish,Tampa Bay Buccaneers,CB,6348646.0,4,6348646.0,4.0,CORRECT,0.0
Uhuru Hetherington,Jake Brendel,San Francisco 49ers,C,16500000.0,4,16500000.0,4.0,CORRECT,0.0
Jalen Seick,Jalen McMillan,Tampa Bay Buccaneers,WR,5663024.0,4,5663024.0,4.0,CORRECT,0.0
Vernon Harrell,Jalen Nailor,Minnesota Vikings,WR,3840660.0,4,3840660.0,4.0,CORRECT,0.0
Deljuan Okpokowuruk,Jamal Adams,Las Vegas Raiders,SS,1255000.0,1,1255000.0,1.0,CORRECT,0.0
Nemiah Beattie,N/A,New York A Jets,MLB,44.0,3,N/A,N/A,NO_TEST_MATCH,N/A
Tripp Raible,Jayden Higgins,Houston Texans,WR,11700824.0,4,11700824.0,4.0,CORRECT,0.0
Kayo Cassiano,Joe Tryon-Shoyinka,Cleveland Browns,RE,4.75,1,N/A,N/A,NO_CONTRACT_FOUND,N/A
Pellom Price,John Jenkins,Baltimore Ravens,DT,1750000.0,1,1750000.0,1.0,CORRECT,0.0
Miles Cadet,John Metchie,Houston Texans,WR,8070172.0,4,8070172.0,4.0,CORRECT,0.0
Bam Etelman,Johnny Hekker,Tennessee Titans,P,1422500.0,1,1422500.0,1.0,CORRECT,0.0
Ryon Mutryn,Jonah Williams,Arizona Cardinals,RT,30000000.0,2,30000000.0,2.0,CORRECT,0.0
Erric Sturgis,Josh Paschal,Detroit Lions,LE,7735650.0,4,7735650.0,4.0,CORRECT,0.0
Danieal Morton,Josh Conerly Jr.,Washington Commanders,RT,15681094.0,4,15681094.0,4.0,CORRECT,0.0
Leo Steber,Joshua Uche,Philadelphia Eagles,LE,1920000.0,1,1920000.0,1.0,CORRECT,0.0
Damian Comier,JT Tuimoloau,Indianapolis Colts,LE,9942466.0,4,9942466.0,4.0,CORRECT,0.0
Hezekiah Nickel,Juice Scruggs,Houston Texans,LG,6099103.0,4,6099103.0,4.0,CORRECT,0.0
Brandian Henne,JuJu Brents,Indianapolis Colts,CB,9.196937,4,N/A,N/A,NO_CONTRACT_FOUND,N/A
Sal Giddens,Justin Jones,Arizona Cardinals,DT,31165000.0,3,31165000.0,3.0,CORRECT,0.0
Toimi Guion,N/A,New York A Jets,QB,40.0,2,N/A,N/A,NO_TEST_MATCH,N/A
Mccoy Alberghini,N/A,New Orleans,TE,31.75,3,N/A,N/A,NO_TEST_MATCH,N/A
Martin Adeyanju,Kaiir Elam,Dallas Cowboys,CB,13690809.0,4,13690809.0,4.0,CORRECT,0.0
Jojuan Kassell,Kayshon Boutte,New England Patriots,WR,4027272.0,4,4027272.0,4.0,CORRECT,0.0
Pard Biletnikoff,Keaton Mitchell,Baltimore Ravens,HB,2713000.0,3,2713000.0,3.0,CORRECT,0.0
Antwan Rash,Kelee Ringo,Philadelphia Eagles,CB,4660924.0,4,4660924.0,4.0,CORRECT,0.0
Rashaun Plank,Kris Jenkins,Cincinnati Bengals,DT,7860464.0,4,7860464.0,4.0,CORRECT,0.0
Shaud Foote,Levi Onwuzurike,Detroit Lions,DT,4000000.0,1,4000000.0,1.0,CORRECT,0.0
Caleb Zelencik,Lucas Patrick,Cincinnati Bengals,RG,2100000.0,1,2100000.0,1.0,CORRECT,0.0
Lonny Dimancheff,Lukas Van Ness,Green Bay Packers,RE,17388091.0,4,17388091.0,4.0,CORRECT,0.0
Paschall Howard,Mack Hollins,New England Patriots,WR,8400000.0,2,8400000.0,2.0,CORRECT,0.0
Spencer Gerak,Malik Mustapha,San Francisco 49ers,FS,4758936.0,4,4758936.0,4.0,CORRECT,0.0
Eugene Worilds,Marcus Davenport,Detroit Lions,RE,2500000.0,1,2500000.0,1.0,CORRECT,0.0
Lester Maualuga,Mason McCormick,Pittsburgh Steelers,RG,4784896.0,4,4784896.0,4.0,CORRECT,0.0
Vee Holtzman,Matt Gay,Washington Commanders,K,4325000.0,1,4325000.0,1.0,CORRECT,0.0
